kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Bojonegoro,Mei,2023,62360,27618.0,33591,15403.8,3.36,26.99,5083,28769,3344,21035,135.6,219.75,5,0.44288005131494546,0.4585692596231133,5.659846547314578,6.2903708133971294,1.6205752212389382,8562.6,50023.75,0,2,59115.90583333333
Bojonegoro,Juni,2023,62360,30712.1,33591,16982.6,0.82,27.99,5083,28718,4105,26106,243.13,394.0,6,0.49249679281590764,0.5055699443303265,5.649813102498524,6.3595615103532275,1.6205322255583432,9431.13,55218.0,0,2,59115.90583333333
Bojonegoro,Juli,2023,62360,34104.8,33591,18823.6,0.64,27.19,5083,28668,3243,20558,339.27,573.55,7,0.5469018601667737,0.5603762912684945,5.6399763918945505,6.339192106074623,1.69054145665694,8665.27,49799.55,0,3,59115.90583333333
Bojonegoro,Agustus,2023,62360,36851.7,33591,20198.1,0.1,27.62,5083,28617,2907,18113,398.27,673.29,8,0.5909509300833867,0.6012949897293918,5.629942947078497,6.230822153422773,1.6905365706681397,8388.27,47403.29,0,3,59115.90583333333
Bojonegoro,September,2023,62360,40387.4,33591,22003.2,0.17,28.43,8073,45370,3327,20626,543.17,918.25,9,0.6476491340602951,0.655032598017326,5.6199677938808374,6.199579200480914,1.690538873649134,11943.17,66914.25,0,3,59115.90583333333
Bojonegoro,Oktober,2023,62360,47449.3,33591,25361.4,0.5,29.98,8073,45289,3014,18659,351.01,593.4,10,0.7608932007697242,0.7550058051263732,5.609934349064784,6.190776376907764,1.6905501267770149,11438.01,64541.4,0,4,59115.90583333333
Bojonegoro,November,2023,62360,55526.7,33591,29694.4,4.87,29.07,6578,36836,2524,15748,120.75,195.68,11,0.8904217447081462,0.8839986901253313,5.599878382487078,6.239302694136292,1.6205383022774327,9222.75,52779.68,0,4,59115.90583333333
Bojonegoro,Desember,2023,62360,61389.5,33591,32912.7,6.61,27.92,6578,36771,2536,16078,12.39,19.71,12,0.9844371391917897,0.9798070911851388,5.589996959562177,6.339905362776025,1.5907990314769975,9126.39,52868.71,0,4,59115.90583333333
Bojonegoro,Januari,2024,35284,202.0,21500,127.9,11.16,26.74,6676,38119,3092,19513,16.41,26.26,1,0.005724974492687904,0.005948837209302326,5.709856201318154,6.310802069857697,1.6002437538086534,9784.41,57658.26,0,1,59115.90583333333
Bojonegoro,Februari,2024,35284,2426.9,21500,1381.1,14.04,26.71,6676,38053,5600,35782,16.44,26.31,2,0.06878188414012017,0.06423720930232557,5.699970041941282,6.389642857142857,1.6003649635036494,12292.44,73861.31,0,1,59115.90583333333
